,felt,mag_type,net,alert,tz,sources,nst,status,types,tipe,tsunami,detail,time,code,sig,gap,dmin,mag,place,url,rms,cdi,ids,id,updated,mmi
15,,md,pr,,,",pr,",6.0,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2022015004&format=geojson,1642281701270,2022015004,75,193,0.1243,2.21,"5 km WNW of Santo Domingo, Puerto Rico",https://earthquake.usgs.gov/earthquakes/eventpage/pr2022015004,0.09,,",pr2022015004,",pr2022015004,1642284044423,
16,,md,nc,,,",nc,",19.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678931&format=geojson,1642281665110,73678931,6,68,0.009136,0.63,"8km NW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678931,0.02,,",nc73678931,",nc73678931,1642281760820,
17,,md,nc,,,",nc,",14.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678926&format=geojson,1642280316340,73678926,78,130,0.04095,2.25,"12km WSW of Laytonville, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678926,0.17,,",nc73678926,",nc73678926,1642281610399,
18,,md,pr,,,",us,pr,",10.0,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2022015003&format=geojson,1642279387220,2022015003,194,323,0.9617,3.55,"85 km N of Cruz Bay, U.S. Virgin Islands",https://earthquake.usgs.gov/earthquakes/eventpage/pr2022015003,0.6,,",us7000gcaq,pr2022015003,",pr2022015003,1642286414040,
19,,md,nc,,,",nc,",12.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678911&format=geojson,1642278562390,73678911,2,68,0.01666,0.37,"10km NW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678911,0.02,,",nc73678911,",nc73678911,1642278660927,
20,,mb,us,,,",us,",,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gcak&format=geojson,1642278263203,7000gcak,312,85,4.581,4.5,"22 km S of Hihifo, Tonga",https://earthquake.usgs.gov/earthquakes/eventpage/us7000gcak,0.72,,",us7000gcak,",us7000gcak,1642280735040,
21,,ml,ci,,,",ci,",9.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913599&format=geojson,1642277911650,39913599,7,81,0.05392,0.69,"23km N of Ridgecrest, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913599,0.14,,",ci39913599,",ci39913599,1642278118601,
22,,md,nc,,,",nc,",19.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678906&format=geojson,1642277902060,73678906,9,66,0.01432,0.77,"6km WNW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678906,0.02,,",nc73678906,",nc73678906,1642278000867,
23,,ml,ci,,,",ci,",24.0,reviewed,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913591&format=geojson,1642277770190,39913591,14,73,0.03772,0.97,"23km SSW of La Quinta, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913591,0.19,,",ci39913591,",ci39913591,1642344437346,
24,,md,nc,,,",nc,",7.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678901&format=geojson,1642277619780,73678901,8,105,0.01423,0.71,"2km W of Anderson Springs, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678901,0.01,,",nc73678901,",nc73678901,1642277715462,
25,,md,nc,,,",nc,",8.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678896&format=geojson,1642277491940,73678896,2,106,0.00582,0.37,"9km WNW of Cobb, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678896,0.03,,",nc73678896,",nc73678896,1642277585792,
26,7.0,ml,ak,,,",ak,us,",,reviewed,",dyfi,origin,phase-data,shakemap,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p50tjx&format=geojson,1642277348831,022p50tjx,170,,,3.3,"15 km E of Tyonek, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p50tjx,0.76,3.1,",ak022p50tjx,us7000gca9,",ak022p50tjx,1642314722402,2.287
27,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p4o99t&format=geojson,1642276246365,022p4o99t,44,,,1.7,"13 km NE of Nikiski, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p4o99t,0.49,,",ak022p4o99t,",ak022p4o99t,1642276998831,
28,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p4mr1y&format=geojson,1642275823576,022p4mr1y,44,,,1.7,"58 km SSW of Cantwell, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p4mr1y,0.7,,",ak022p4mr1y,",ak022p4mr1y,1642276617624,
29,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p4moyq&format=geojson,1642275796755,022p4moyq,35,,,1.5,"26 km W of Four Mile Road, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p4moyq,0.9,,",ak022p4moyq,",ak022p4moyq,1642276056317,
30,,md,nc,,,",nc,",7.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678886&format=geojson,1642274287920,73678886,9,148,0.005385,0.75,"3km SSE of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678886,0.03,,",nc73678886,",nc73678886,1642274384430,
31,,mb,us,,,",us,",,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gca3&format=geojson,1642273824042,7000gca3,271,56,2.388,4.2,"181 km WNW of Kamiiso, Japan",https://earthquake.usgs.gov/earthquakes/eventpage/us7000gca3,0.39,,",us7000gca3,",us7000gca3,1642285454040,
32,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p43vqx&format=geojson,1642272940103,022p43vqx,44,,,1.7,"59 km S of Denali National Park, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p43vqx,0.98,,",ak022p43vqx,",ak022p43vqx,1642273380906,
33,,ml,ci,,,",ci,",9.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913551&format=geojson,1642272020930,39913551,31,90,0.07002,1.41,"7km SSE of Good Hope, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913551,0.3,,",ci39913551,",ci39913551,1642272241907,
34,,md,nc,,,",nc,",15.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678876&format=geojson,1642271616210,73678876,5,64,0.003019,0.56,"5km NW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678876,0.02,,",nc73678876,",nc73678876,1642271711057,
35,,md,hv,,,",hv,",40.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72875087&format=geojson,1642271140240,72875087,62,152,,2,"3 km SSE of P?hala, Hawaii",https://earthquake.usgs.gov/earthquakes/eventpage/hv72875087,0.109999999,,",hv72875087,",hv72875087,1642271341540,
36,,md,hv,,,",hv,",11.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72875072&format=geojson,1642270420400,72875072,69,72,,2.11999989,"27 km NNW of P?hala, Hawaii",https://earthquake.usgs.gov/earthquakes/eventpage/hv72875072,0.300000012,,",hv72875072,",hv72875072,1642270603250,
37,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p3uuvz&format=geojson,1642270409598,022p3uuvz,44,,,1.7,"27 km NW of Petersville, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p3uuvz,1.15,,",ak022p3uuvz,",ak022p3uuvz,1642271005860,
38,,md,hv,,,",hv,",36.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72875062&format=geojson,1642270037510,72875062,53,169,,1.86000001,"10 km E of P?hala, Hawaii",https://earthquake.usgs.gov/earthquakes/eventpage/hv72875062,0.109999999,,",hv72875062,",hv72875062,1642270228260,
39,,md,nc,,,",nc,",14.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678866&format=geojson,1642268559120,73678866,10,66,0.01038,0.8,"7km W of Cobb, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678866,0.03,,",nc73678866,",nc73678866,1642268655588,
40,,md,pr,,,",us,pr,",14.0,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2022015002&format=geojson,1642268521920,2022015002,208,332,1.0235,3.68,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2022015002,0.61,,",us7000gc9h,pr2022015002,",pr2022015002,1642275110040,
41,,ml,ci,,,",ci,",29.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913535&format=geojson,1642267974730,39913535,13,80,0.04612,0.91,"23km SSW of La Quinta, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913535,0.19,,",ci39913535,",ci39913535,1642268185590,
42,,mb,us,,,",us,",,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gc9f&format=geojson,1642267492756,7000gc9f,385,72,8.035,5,South Sandwich Islands region,https://earthquake.usgs.gov/earthquakes/eventpage/us7000gc9f,0.58,,",us7000gc9f,",us7000gc9f,1642269795040,
43,,md,hv,,,",hv,",26.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72875002&format=geojson,1642267206470,72875002,52,56,,1.84000003,"22 km ENE of Honaunau-Napoopoo, Hawaii",https://earthquake.usgs.gov/earthquakes/eventpage/hv72875002,0.209999993,,",hv72875002,",hv72875002,1642267536380,
44,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p3ajj7&format=geojson,1642267131238,022p3ajj7,30,,,1.4,"34 km WNW of Clam Gulch, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p3ajj7,0.4,,",ak022p3ajj7,",ak022p3ajj7,1642267318957,
45,2.0,md,nc,,,",nc,",15.0,automatic,",dyfi,nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678856&format=geojson,1642266917890,73678856,37,98,0.05789,1.55,"2km N of San Ramon, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678856,0.07,2.2,",nc73678856,",nc73678856,1642284592282,
46,,mb,us,,,",ak,us,",,reviewed,",origin,phase-data,shakemap,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gc9c&format=geojson,1642265872029,7000gc9c,271,185,0.829,4.2,"152 km SW of Nikolski, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000gc9c,1.29,,",ak022p2xmfq,us7000gc9c,",us7000gc9c,1642275891012,1.657
47,,ml,ci,,,",ci,",16.0,reviewed,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913511&format=geojson,1642265697600,39913511,26,106,0.1274,1.29,"14km NE of Ridgecrest, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913511,0.17,,",ci39913511,",ci39913511,1642344485376,
48,,md,nc,,,",nc,",19.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678846&format=geojson,1642265672260,73678846,12,41,0.01088,0.89,"6km W of Cobb, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678846,0.04,,",nc73678846,",nc73678846,1642265771310,
49,1.0,ml,ci,,,",ci,",14.0,automatic,",dyfi,nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913503&format=geojson,1642265662940,39913503,14,64,0.07303,0.96,"14km ESE of Little Lake, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913503,0.18,0,",ci39913503,",ci39913503,1642265997237,
50,,md,nc,,,",nc,",10.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678841&format=geojson,1642265466100,73678841,21,82,0.01207,1.18,"8km NW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678841,0.02,,",nc73678841,",nc73678841,1642269671235,
51,,ml,nn,,,",nn,",11.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00831766&format=geojson,1642264277568,00831766,19,138.83,0.167,1.1,"37 km SSE of Goldfield, Nevada",https://earthquake.usgs.gov/earthquakes/eventpage/nn00831766,0.2747,,",nn00831766,",nn00831766,1642264490912,
52,2.0,ml,ci,,,",ci,us,",47.0,automatic,",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913455&format=geojson,1642263541960,39913455,94,66,0.173,2.46,"18km NE of Lebec, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913455,0.19,2.2,",ci39913455,us7000gc99,",ci39913455,1642272111040,
53,,ml,ci,,,",ci,",31.0,reviewed,",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913439&format=geojson,1642263206440,39913439,58,67,0.172,1.95,"18km E of Grapevine, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913439,0.19,,",ci39913439,",ci39913439,1642344574170,
54,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p2mxzf&format=geojson,1642262921072,022p2mxzf,50,,,1.8,"6 km WNW of Point MacKenzie, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p2mxzf,0.65,,",ak022p2mxzf,",ak022p2mxzf,1642263151507,
55,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p2mjh5&format=geojson,1642262812937,022p2mjh5,22,,,1.2,"47 km E of Pedro Bay, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p2mjh5,0.73,,",ak022p2mjh5,",ak022p2mjh5,1642262991071,
56,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p2c54t&format=geojson,1642262281593,022p2c54t,56,,,1.9,"50 km W of Happy Valley, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p2c54t,0.52,,",ak022p2c54t,",ak022p2c54t,1642262560157,
57,,ml,ci,,,",ci,",11.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913415&format=geojson,1642261648600,39913415,21,127,0.1064,1.16,"9km S of Searles Valley, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913415,0.2,,",ci39913415,",ci39913415,1642261862891,
58,2.0,ml,ok,,,",ok,us,",36.0,automatic,",dyfi,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022baua&format=geojson,1642261135364,2022baua,103,59.95294285,0.1404066682,2.58,"4 km NNW of Covington, Oklahoma",https://earthquake.usgs.gov/earthquakes/eventpage/ok2022baua,0.6661328085,2.7,",ok2022baua,us7000gc94,",ok2022baua,1642332231410,
59,,ml,nn,,,",nn,",14.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00831762&format=geojson,1642260626771,00831762,22,139.88,0.171,1.2,"36 km SSE of Goldfield, Nevada",https://earthquake.usgs.gov/earthquakes/eventpage/nn00831762,0.2506,,",nn00831762,",nn00831762,1642260831011,
60,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p25b5l&format=geojson,1642260373669,022p25b5l,68,,,2.1,"18 km S of Tatitlek, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p25b5l,1.1,,",ak022p25b5l,",ak022p25b5l,1642260826831,
61,,ml,uw,,,",uw,",4.0,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61802067&format=geojson,1642260117230,61802067,5,160,0.03805,0.57,"29 km SW of Sisters, Oregon",https://earthquake.usgs.gov/earthquakes/eventpage/uw61802067,0.09,,",uw61802067,",uw61802067,1642266583100,
62,,md,nc,,,",nc,",19.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678821&format=geojson,1642260077130,73678821,44,221,0.01601,1.7,"8km NW of Cobb, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678821,0.14,,",nc73678821,",nc73678821,1642261992472,
63,,md,nc,,,",nc,",11.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678816&format=geojson,1642260068360,73678816,12,72,0.008794,0.87,"8km WNW of Cobb, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678816,0.01,,",nc73678816,",nc73678816,1642260165970,
64,,md,nc,,,",nc,",11.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678811&format=geojson,1642259962910,73678811,8,102,0.0146,0.7,"2km NW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678811,0.03,,",nc73678811,",nc73678811,1642260061292,
65,,md,nc,,,",nc,",12.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678806&format=geojson,1642259712100,73678806,3,75,0.009497,0.45,"2km NNW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678806,0.01,,",nc73678806,",nc73678806,1642259805989,
66,,ml,nn,,,",nn,",16.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00831758&format=geojson,1642259667064,00831758,30,141.87,0.171,1.4,"37 km SSE of Goldfield, Nevada",https://earthquake.usgs.gov/earthquakes/eventpage/nn00831758,0.3023,,",nn00831758,",nn00831758,1642259881717,
67,,md,hv,,,",hv,",42.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72874827&format=geojson,1642259519330,72874827,67,164,,2.08999991,"7 km E of P?hala, Hawaii",https://earthquake.usgs.gov/earthquakes/eventpage/hv72874827,0.119999997,,",hv72874827,",hv72874827,1642259714070,
68,,md,nc,,,",nc,",15.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678801&format=geojson,1642259494810,73678801,11,84,0.01467,0.86,"2km NW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678801,0.03,,",nc73678801,",nc73678801,1642259591329,
69,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p211rb&format=geojson,1642259185752,022p211rb,44,,,1.7,"45 km N of Chickaloon, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p211rb,0.41,,",ak022p211rb,",ak022p211rb,1642259443924,
70,,ml,ci,,,",ci,",24.0,automatic,",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913391&format=geojson,1642259074300,39913391,28,67,0.08645,1.36,"9km SW of Wrightwood, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913391,0.27,,",ci39913391,",ci39913391,1642259745620,
71,,ml,hv,,,",us,hv,",46.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72874807&format=geojson,1642258796000,72874807,102,88,,2.57,"1 km SSE of P?hala, Hawaii",https://earthquake.usgs.gov/earthquakes/eventpage/hv72874807,0.119999997,,",us7000gc8y,hv72874807,",hv72874807,1642269505040,
72,,md,nc,,,",nc,",28.0,automatic,",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678796&format=geojson,1642258280710,73678796,58,44,0.01044,1.94,"6km NNW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678796,0.03,,",nc73678796,",nc73678796,1642260192296,
